Budget Estimates 2022-2023 Revenue,Category,Ministry/Department,Scheme,Actuals 2021-2022 Capital,Actuals 2021-2022 Revenue,Actuals 2021-2022 Total,Budget Estimates 2022-2023 Capital,Budget Estimates 2022-2023 Total,Budget Estimates2023-2024 Capital,Budget Estimates2023-2024 Revenue,Budget Estimates2023-2024 Total,Revised Estimates 2022-2023 Revenue,Revised Estimates2022-2023 Revenue,Revised Estimates2022-2023 Total,Sl.No.
41,Demand No. 10,Department of Commerce,Centre For Research on International Trade-CRIT (Centre for WTO Studies),0,21,21,0,41,0,41,41,0,32,32,91
250,Demand No. 10,Department of Commerce,Transport and Marketing Assistance (TMA) Scheme for specified agriculture products,0,249.99,249.99,0,250,0,0.01,0.01,0,545,545,92
0,Demand No. 11,Department for Promotion of Industry and Internal Trade,Indian Leather Development Programme (ILDP),0,228.46,228.46,0,0,0,0,0,0,0,0,93
208,Demand No. 11,Department for Promotion of Industry and Internal Trade,"Footwear, Leather and Accessories Development Programme (FLADP)",0,0,0,0,208,0,250,250,0,74.53,74.53,94
5.08,Demand No. 11,Department for Promotion of Industry and Internal Trade,Industrial Infrastructure Upgradation Scheme (IIUS),0,2.71,2.71,0,5.08,0,5,5,0,5.08,5.08,95
16.23,Demand No. 11,Department for Promotion of Industry and Internal Trade,Price and Production Statistics,0,17.25,17.25,0,16.23,0,17.85,17.85,0,20,20,96
1500,Demand No. 11,Department for Promotion of Industry and Internal Trade,National Industrial Corridor Development and Implementation Trust (NICDIT),0,859.1,859.1,0,1500,0,2000,2000,0,1500,1500,97
0,Demand No. 11,Department for Promotion of Industry and Internal Trade,"Exhibition-Cum-Convention Centre, Dwarka",245.58,0,245.58,0,0,0,0,0,0,0,0,98
189,Demand No. 11,Department for Promotion of Industry and Internal Trade,Scheme for Investment Promotion,0,202.47,202.47,0,189,0.15,194.85,195,0,189,189,99
NA,Demand No. 11,Department for Promotion of Industry and Internal Trade,Fund of Funds,1330,0,1330,1000,1000,1470,0,1470,1189.02,0,1189.02,100
0,Demand No. 11,Department for Promotion of Industry and Internal Trade,Credit Guarantee Fund,0,0,0,0,0,0,250,250,0,25,25,101
50,Demand No. 11,Department for Promotion of Industry and Internal Trade,Startup India,0,20.18,20.18,0,50,0,30,30,0,44.29,44.29,102
NA,Demand No. 11,Department for Promotion of Industry and Internal Trade,Startup India Seed Fund Scheme (SISFS),100,0,100,283.5,283.5,160,0,160,140,0,140,103
12,Demand No. 11,Department for Promotion of Industry and Internal Trade,Ease of Doing Business,0,9.13,9.13,0,12,0,10,10,0,11.5,11.5,104
3.54,Demand No. 11,Department for Promotion of Industry and Internal Trade,Production Linked Incentive Scheme (PLI) for White Goods (ACs and LED Lights),0,1.18,1.18,0,3.54,0,65,65,0,3.54,3.54,105
20,Demand No. 11,Department for Promotion of Industry and Internal Trade,North Eastern Industrial and Investment Promotion Policy (NEIPP),0,180,180,0,20,0,200,200,0,90,90,106
150,Demand No. 11,Department for Promotion of Industry and Internal Trade,North East Industrial Development Scheme (NEIDS) 2017,0,30,30,0,150,0,400,400,0,165,165,107
300,Demand No. 11,Department for Promotion of Industry and Internal Trade,Transport/Freight Subsidy Scheme,0,382.95,382.95,0,300,0,50,50,0,156.2,156.2,108
29.5,Demand No. 11,Department for Promotion of Industry and Internal Trade,"Package for Special Catagory States for Jammu and Kashmir,  Himachal Pradesh and Uttarakhand",0,28.33,28.33,0,29.5,0,8,8,0,15.9,15.9,109
110,Demand No. 11,Department for Promotion of Industry and Internal Trade,"Industrial Development Scheme, 2017 for Union Territory of Jammu & Kashmir and Union Territory of Ladakh",0,43.41,43.41,0,110,0,50,50,0,30,30,110
31.9,Demand No. 11,Department for Promotion of Industry and Internal Trade,"Industrial Development Scheme for Himachal Pradesh & Uttarakhand, 2017",0,131.9,131.9,0,31.9,0,250,250,0,146.6,146.6,111
150,Demand No. 11,Department for Promotion of Industry and Internal Trade,Industrial Development of UT of Jammu and Kashmir,0,1.79,1.79,0,150,0,150,150,0,75,75,112
0,Demand No. 11,Department for Promotion of Industry and Internal Trade,"Industrial Development of Ladakh, 2022",0,0,0,0,0,0,97.3,97.3,0,0,0,113
3631.64,Demand No. 11,Department for Promotion of Industry and Internal Trade,Refund of Central and Integrated GST to Industrial Units in North Eastern Region and Himalayan States,0,3904.3,3904.3,0,3631.64,0,1713.88,1713.88,0,2100,2100,114
363.45,Demand No. 12,Department of Posts,Postal Operation,603.53,294.32,897.85,602.05,965.5,1023.45,120.86,1144.31,1002.66,267.07,1269.73,115
0,Demand No. 12,Department of Posts,Financial Services,3.32,0,3.32,0,0,0,0,0,0,0,0,116
NA,Demand No. 12,Department of Posts,India Post Payments Bank,200,0,200,200,200,250,0,250,400,0,400,117
20.93,Demand No. 12,Department of Posts,Human Resource Management,7.15,11.8,18.95,4.07,25,6,28,34,3.26,25.82,29.08,118
0.5,Demand No. 12,Department of Posts,Estates Management,56.73,0,56.73,64.5,65,99.5,0.5,100,70.1,0,70.1,119
2000,Demand No. 13,Department of Telecommunications,Compensation to Service Providers for creation and augmentation of telecom infrastructure,0,8300,8300,7000,9000,5000,5400,10400,1500,1510,3010,120
NA,Demand No. 13,Department of Telecommunications,Optical Fibre Cable based network for Defence Services,3069.91,0,3069.91,1961,1961,2158,0,2158,1961,0,1961,121
0,Demand No. 13,Department of Telecommunications,Domestic Industry Incentivisation Scheme,0,0,0,0,0,0,915,915,0,0,0,122
60,Demand No. 13,Department of Telecommunications,Wireless Planning and Coordination,4.79,54.38,59.17,16.01,76.01,686.42,70,756.42,13.45,71.05,84.5,123
NA,Demand No. 13,Department of Telecommunications,Telecom Engineering Centre,2.15,0,2.15,15,15,12,0,12,5.12,0,5.12,124
19,Demand No. 13,Department of Telecommunications,Technology Development and  Investment Promotion,0,2.96,2.96,0,19,0,0,0,0,19,19,125
NA,Demand No. 13,Department of Telecommunications,Construction of  Office Building,0,0,0,0.01,0.01,0,0,0,0.01,0,0.01,126
NA,Demand No. 13,Department of Telecommunications,Telecom Testing and Security Certification Centre,0,0,0,10,10,24,0,24,10,0,10,127
NA,Demand No. 13,Department of Telecommunications,Telecom Computer Emergency Response Team(T-Cert),16,0,16,31.8,31.8,351.34,0,351.34,111.25,0,111.25,128
NA,Demand No. 13,Department of Telecommunications,Central Equipments Identity Register (CEIR),11.59,0,11.59,13,13,0,0,0,13,0,13,129
1,Demand No. 13,Department of Telecommunications,Funding to BSNL for providing Telecom Connectivity for Amarnath Yatra,0,0,0,0,1,0,1,1,0,1,1,130
NA,Demand No. 13,Department of Telecommunications,5G Connectivity Test Bed,10.21,0,10.21,10,10,0.01,5.55,5.56,2.63,5.11,7.74,131
3.5,Demand No. 13,Department of Telecommunications,Champion Services Sector Scheme,0,8.56,8.56,0,3.5,0,0,0,0,52.86,52.86,132
527.68,Demand No. 13,Department of Telecommunications,Production Linked Incentive (PLI) Scheme to Promote Telecom and Networking Products Manufacturing in India,0,0,0,0,527.68,0,0,0,0,90.25,90.25,133
NA,Demand No. 13,Department of Telecommunications,Digital Intelligence Unit Project,0,0,0,10,10,220,0,220,21,0,21,134
1500,Demand No. 14,Department of Consumer Affairs,Price Stabilisation Fund,0,2030.83,2030.83,0,1500,0,0.01,0.01,0,0.01,0.01,135
27,Demand No. 14,Department of Consumer Affairs,CONFONET,0,32,32,0,27,0,29.4,29.4,0,29.26,29.26,136
25,Demand No. 14,Department of Consumer Affairs,Consumer Awareness (Advertising and Publicity),0,7.84,7.84,0,25,0,17.99,17.99,0,17.5,17.5,137
0,Demand No. 14,Department of Consumer Affairs,Consumer Helplines,0,0.4,0.4,0,0,0,0,0,0,0,0,138
7,Demand No. 14,Department of Consumer Affairs,Consumer Protection Cell,0,6.55,6.55,0,7,0,7.6,7.6,0,5.4,5.4,139
1.5,Demand No. 14,Department of Consumer Affairs,Price Monitoring Structure,0,1.44,1.44,0,1.5,0.27,5.73,6,0,3,3,140
6,Demand No. 14,Department of Consumer Affairs,"Strengthening Consumer Forum, Consumer Counseling and Mediation",0,2.79,2.79,0,6,0,7,7,0,3.16,3.16,141
0.75,Demand No. 14,Department of Consumer Affairs,Bureau of Indian Standard,0,0,0,0,0.75,0,0.5,0.5,0,0.01,0.01,142
9.1,Demand No. 14,Department of Consumer Affairs,National Test House,3.24,9.16,12.4,5.65,14.75,7.76,9.24,17,7.42,9.58,17,143
2.8,Demand No. 14,Department of Consumer Affairs,Strengthening of Weights and Measures Infrastructure and Strengthening of Regional Reference Standard Laboratories and Indian Institute of Legal Metrology,15.29,2.5,17.79,14.2,17,19,9,28,19.2,3.8,23,144
145919.9,Demand No. 15,Department of Food and Public Distribution,Food Subsidy  to Food Corporation of India under National Food Security Act.,0,208929,208929,0,145919.9,0,137207,137207,0,214696,214696,145
60561.19,Demand No. 15,Department of Food and Public Distribution,Food Subsidy for Decentralized Procurement of Foodgrains under NFSA,0,79789.54,79789.54,0,60561.19,0,59793,59793,0,72282.5,72282.5,146
350,Demand No. 15,Department of Food and Public Distribution,Sugar Subsidy payable under Public Distribution System,0,250,250,0,350,0,350,350,0,215.55,215.55,147
0,Demand No. 15,Department of Food and Public Distribution,Assistance to State Agencies for intra-state movement of foodgrains and FPS dealers margin under NFSA,0,6000,6000,0,0,0,0,0,0,0,0,148
0,Demand No. 15,Department of Food and Public Distribution,Scheme for Assistance to Sugar Mills for 2018-19 season,0,122.18,122.18,0,0,0,0,0,0,1.5,1.5,149
0,Demand No. 15,Department of Food and Public Distribution,Scheme for Creation and Maintenance of Buffer Stock of 40 LMT of Sugar,0,607.7,607.7,0,0,0,0,0,0,0.42,0.42,150
0,Demand No. 15,Department of Food and Public Distribution,Scheme for Creation and Maintenance of Buffer Stock of Sugar,0,96.04,96.04,0,0,0,0,0,0,3,3,151
0,Demand No. 15,Department of Food and Public Distribution,Scheme for Assistance to Sugar Mills for 2019-20 season,0,2120.86,2120.86,0,0,0,0,0,0,14.5,14.5,152
300,Demand No. 15,Department of Food and Public Distribution,Scheme for extending financial assistance to sugar mills for enhancement and augmentation of ethanol production capacity,0,160,160,0,300,0,400,400,0,259.83,259.83,153
0,Demand No. 15,Department of Food and Public Distribution,"Scheme for defraying expenditure towards internal transport, freight, handling and other charges on export",0,3.1,3.1,0,0,0,0,0,0,0.25,0.25,154
0,Demand No. 15,Department of Food and Public Distribution,"Scheme for providing assistance to Sugar Mills for expenses on marketing costs including handling, upgrading and other processing costs and costs of international and internal transport and freight charges on export of sugar",0,3477.62,3477.62,0,0,0,0,0,0,20.5,20.5,155
16,Demand No. 15,Department of Food and Public Distribution,Schemes for Development of Sugar Industries,121.1,22,143.1,68.81,84.81,0,10,10,61.7,16,77.7,156
2,Demand No. 15,Department of Food and Public Distribution,Strengthening of PDS Operations,0,0.87,0.87,0,2,0,5,5,0,2.5,2.5,157
40,Demand No. 15,Department of Food and Public Distribution,Integrated Management of Public Distribution System,0,23.76,23.76,0,40,0,0,0,0,30,30,158
3.2,Demand No. 15,Department of Food and Public Distribution,Storage and Godowns,5,1.22,6.22,30,33.2,100,3.57,103.57,35.01,3.2,38.21,159
0,Demand No. 15,Department of Food and Public Distribution,Actual Recoveries,0,-0.54,-0.54,0,0,0,0,0,0,0,0,160
50,Demand No. 16,Ministry of Cooperation,Integrated Scheme on Agriculture Cooperation (ISAC),0,0,0,0,50,0,0.01,0.01,0,664.96,664.96,161
1,Demand No. 16,Ministry of Cooperation,Cooperative Credit Guarantee Fund,0,0,0,0,1,0,0,0,0,0,0,162
30,Demand No. 16,Ministry of Cooperation,Co-operative Education,0,0,0,0,30,0,30,30,0,30,30,163
25,Demand No. 16,Ministry of Cooperation,Cooperative Training,0,0,0,0,25,0,25,25,0,25,25,164
0.01,Demand No. 17,Ministry of Corporate Affairs,Champion Service Sector Scheme on Accounting and Finance Services,0,0,0,0,0.01,0,0,0,0,0,0,165
5.67,Demand No. 17,Ministry of Corporate Affairs,Corporate Data Management (CDM),0,4.45,4.45,0,5.67,0,0.02,0.02,0,5.67,5.67,166
NA,Demand No. 17,Ministry of Corporate Affairs,Data Mining System (DMS),0.18,0,0.18,0.5,0.5,0,0,0,0.5,0,0.5,167
110,Demand No. 18,Ministry of Culture,"Centenaries and Anniversaries,  Celebrations and Schemes",0,125.64,125.64,0,110,0,185,185,0,353.82,353.82,168
185.85,Demand No. 18,Ministry of Culture,Kala Sanskriti Vikas Yojana,0,156.46,156.46,1,186.85,0,210.49,210.49,0,214.36,214.36,169
180,Demand No. 18,Ministry of Culture,Development of Museums,0,142.72,142.72,0,180,0,183.86,183.86,0,214.23,214.23,170
23,Demand No. 18,Ministry of Culture,Development of Libraries and Archives,0,1.52,1.52,0,23,0,26.02,26.02,0,19.1,19.1,171
13.57,Demand No. 18,Ministry of Culture,Global Engagement and International Cooperation,0,9.86,9.86,0,13.57,0,25.55,25.55,0,16.25,16.25,172
19.13,Demand No. 18,Ministry of Culture,National mission on cultural mapping and roadmap,0,0,0,0,19.13,0,19.82,19.82,0,19.13,19.13,173
NA,Demand No. 19,Ministry of Defence (Civil),Transfer to Central Road and Infrastructure Fund,3500,0,3500,3500,3500,0,0,0,0,0,0,174
0,Demand No. 19,Ministry of Defence (Civil),Works under Border Roads Development Board,-18.83,0,-18.83,0,0,5000,0,5000,4500,0,4500,175
55,Demand No. 19,Ministry of Defence (Civil),Grants to States for Strategic Roads,0,49.41,49.41,0,55,0,55,55,0,50,50,176
1000,Demand No. 19,Ministry of Defence (Civil),Other works,0,828.09,828.09,0,1000,0,950,950,0,900,900,177
NA,Demand No. 21,Capital Outlay on Defence Services,Land-Army,403.93,0,403.93,580,580,291,0,291,394.47,0,394.47,178
NA,Demand No. 21,Capital Outlay on Defence Services,Construction Works-Army,4488.68,0,4488.68,5596.41,5596.41,6788.54,0,6788.54,5125.02,0,5125.02,179
NA,Demand No. 21,Capital Outlay on Defence Services,Aircrafts and Aeroengines-Army,2113.31,0,2113.31,2070,2070,5500,0,5500,3565,0,3565,180
NA,Demand No. 21,Capital Outlay on Defence Services,Heavy and Medium Vehicles,1508.17,0,1508.17,1817.17,1817.17,3000,0,3000,2385,0,2385,181
